,Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
33,Associate Vice President - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",Not disclosed,A suitable candidate should have 8-10 years of experience in a similar role and should ...,8-13 Yrs,"data science, Associate Vice President, Individual Contributor",https://www.naukri.com/job-listings-associate-vice-president-data-science-team-insurance-huquo-consulting-pvt-ltd-gurgaon-gurugram-delhi-ncr-8-to-13-years-171122908563
34,Data science Manager-Model Risk Control,Xoom Inc,Chennai,Not disclosed,Bachelor s or Master s degree in quantitative science or engineering field (Computer Sc...,2-4 Yrs,"Computer science, remediation, Data analysis, data science, Risk control, Machine learning, Data analytics, Risk management",https://www.naukri.com/job-listings-data-science-manager-model-risk-control-xoom-inc-chennai-2-to-4-years-031122502099
35,Manager Data Science,Mondelez,Remote,Not disclosed,Technical experience in roles in best-in-class analytics practices Experience deploying...,3-7 Yrs,"Data analysis, Usage, Business leadership, data science, Networking, Business analytics, Analytical, Research",https://www.naukri.com/job-listings-manager-data-science-mondel-z-international-remote-3-to-7-years-101122500071
36,Data Science & BI Lead,Talent Et Au-dela,"Mumbai, Pune",Not disclosed,Create a positive experience around change by Implementing and managing change plans in...,9-12 Yrs,"BI Lead, Data analysis, Change management, data science, Process improvement, Analytical, Business intelligence, Stakeholder management",https://www.naukri.com/job-listings-data-science-bi-lead-talent-et-au-dela-mumbai-pune-9-to-12-years-091122501923
37,Data Analyst / Data Science,INFOWEB ,Pune,Not disclosed,We are looking to hire a data analyst to join our data team. You will take responsibili...,0-1 Yrs,"Java, Text Analytics, FRD, Python, SQL, C++, Healthcare Analytics, Use Cases",https://www.naukri.com/job-listings-data-analyst-data-science-infoweb-pune-0-to-1-years-091122007508
38,Data Science Intern,Wow Labz,Bangalore/Bengaluru,Not disclosed,1 years of hands-on experience in using Python based machine learning packages and libr...,0-1 Yrs,"github, data science, Coding, Analytical, Machine learning, Campus recruitment, Flex, Data mining",https://www.naukri.com/job-listings-data-science-intern-wow-labz-bangalore-bengaluru-0-to-1-years-230822500773
39,Data Science Faculty,Greycampus Edutech,Hyderabad/Secunderabad,Not disclosed,Any stream of graduationThe candidate must have extremely high standards with respect t...,2-3 Yrs,"Data Science, Power Bi, Python",https://www.naukri.com/job-listings-data-science-faculty-greycampus-edutech-pvt-ltd-hyderabad-secunderabad-2-to-3-years-111122007609
40,Data Science Consultant,Kanta  Hr Executive  ,"Hyderabad/Secunderabad, Bangalore/Bengaluru","3,00,000 - 8,00,000 PA.","Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc Exper...",0-3 Yrs,"Data Science, Machine Learning, Deep Learning, MatLab, NumPy, R, testing, visualisation",https://www.naukri.com/job-listings-data-science-consultant-kanta-hr-executive-hyderabad-secunderabad-bangalore-bengaluru-0-to-3-years-061122001918
41,"Analyst, Business Intelligence & Data Science - P2b",Ciena,Gurgaon/Gurugram,Not disclosed,"Developer – Analyst, Service Business IntelligenceESSENTIAL DUTIES AND RESPONSIBILITIES...",2-5 Yrs,"Business Intelligence, Power BI, Alteryx, Snowflake, Predictive Modelling, interpersonal skills, Looker, Machine Learning",https://www.naukri.com/job-listings-analyst-business-intelligence-data-science-p2b-ciena-india-private-ltd-gurgaon-gurugram-2-to-5-years-211022907022
42,Senior Associate Director - Data Science - IIT/ IIM / NIT / XLRI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,"Bachelors/ Masters degree in economics, mathematics, actuarial sciences, computer scien...",7-12 Yrs,"Data Science, analytics, Data analysis, Artificial Intelligence, Data Management, Hadoop, Data Modeling, Machine Learning",https://www.naukri.com/job-listings-senior-associate-director-data-science-iit-iim-nit-xlri-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-091122913601
43,Pre Sales-Data Science,Absolutdata,"Hybrid - Noida, Pune, Gurgaon/Gurugram",Not disclosed,Relevant presales experience in a product or service based organization dealing with sa...,6-11 Yrs,"Data Science, Presales",https://www.naukri.com/job-listings-pre-sales-data-science-absolutdata-research-analytics-solutions-pvt-lt-noida-pune-gurgaon-gurugram-6-to-11-years-091122012487
44,Engineering Manager - Data Science,Zeta Inc.,Bangalore/Bengaluru,Not disclosed,Building highly-scalable and secure data infrastructure that is used by multiple teams ...,4-9 Yrs,"Superset, AWS Athena, Presto, Kafka, Spark, Flink, RDBMS, IaaS",https://www.naukri.com/job-listings-engineering-manager-data-science-zeta-inc-bangalore-bengaluru-4-to-9-years-011122501397
45,Data Science Analyst,Search Advisers Services ( GUJ ) Pvt. Ltd.  ,Bangalore/Bengaluru,"25,00,000 - 27,50,000 PA.",Roles and Responsibilities As a HR Decision Science Analyst in the Global People Analyt...,3-8 Yrs,"data science, HR Topics, Modelling, Global People Analytics, AWS, python, data analysis, Artificial Intelligence",https://www.naukri.com/job-listings-data-science-analyst-search-advisers-services-guj-pvt-ltd-bangalore-bengaluru-3-to-8-years-230922601218
46,Senior Manager - Data Science,Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),"Pune, Bangalore/Bengaluru",Not disclosed,Experience in designing and developing solutions across domains applying advanced machi...,7-12 Yrs,"Data Science, IT Skills, Python, Machine Learning, Artificial Intelligence, Project Management, Big Data, AWS",https://www.naukri.com/job-listings-senior-manager-data-science-xpressbees-busybees-logistics-solutions-pvt-ltd-pune-bangalore-bengaluru-7-to-12-years-221022900234
